|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|   199 | G305.8215-0.1142 | 199.2006 | -62.8436 |   40 |   23 |  37 |   30 |   1.87 |   4.61 |  19.62 |
|   200 | G305.8309-0.1940 | 199.2385 | -62.9221 |   32 |   28 | 127 |   29 |   0.96 |   2.26 |  10.65 |
|   201 | G305.8826-0.2485 | 199.3635 | -62.9712 |   21 |   19 |  97 |   20 |   0.51 |   0.54 |   5.06 |
|   202 | G305.8874+0.0164 | 199.3157 | -62.7071 |   27 |   23 |  59 |   25 |   4.34 |   7.29 |  41.47 |
|   203 | G305.8941+0.0116 | 199.3313 | -62.7113 |   23 |   19 | 115 |   21 |   0.67 |   0.81 |   6.82 |
|   204 | G305.9239+0.0328 | 199.3913 | -62.6871 |   26 |   19 |   7 |   22 |   0.74 |   1.01 |   8.45 |
|   205 | G305.9414-0.1635 | 199.4732 | -62.8806 |   27 |   23 | 103 |   25 |   0.95 |   1.61 |   8.94 |
|   207 | G306.0558-0.0430 | 199.6947 | -62.7489 |   31 |   27 |   2 |   29 |   1.00 |   2.29 |  10.02 |
|   208 | G306.1165+0.1398 | 199.7837 | -62.5606 |   36 |   28 |  41 |   32 |   0.60 |   1.63 |   6.81 |
|   209 | G306.1349+0.1333 | 199.8248 | -62.5651 |   25 |   23 |  82 |   24 |   1.03 |   1.59 |  10.85 |
|   210 | G306.2808-0.1801 | 200.2169 | -62.8604 |   43 |   27 |  41 |   34 |   0.67 |   2.08 |   6.88 |
|   211 | G306.3199-0.3328 | 200.3409 | -63.0076 |   31 |   24 |  -5 |   28 |   0.90 |   1.86 |   9.31 |
|   213 | G306.3430-0.3011 | 200.3833 | -62.9734 |   31 |   20 | 123 |   25 |   0.59 |   1.02 |   6.47 |
|   214 | G306.3434-0.3249 | 200.3902 | -62.9971 |   40 |   28 |  69 |   34 |   0.65 |   1.97 |   7.01 |
|   215 | G307.3779-0.9443 | 202.8527 | -63.4706 |   36 |   26 | 136 |   31 |   0.68 |   1.76 |   7.26 |
|   217 | G307.5610-0.5873 | 203.1305 | -63.0892 |   30 |   26 | 105 |   28 |   5.76 |  11.88 |  50.98 |
|   218 | G307.6023-0.6297 | 203.2355 | -63.1245 |   37 |   21 |  52 |   28 |   0.63 |   1.35 |   6.16 |
|   219 | G307.6099-0.2937 | 203.1342 | -62.7916 |   25 |   21 |  56 |   23 |   0.73 |   1.06 |   6.95 |
|   220 | G307.6161-0.2591 | 203.1355 | -62.7565 |   41 |   23 |  31 |   31 |   2.54 |   6.61 |  23.74 |
|   221 | G307.6252-0.2633 | 203.1566 | -62.7592 |   36 |   26 | 124 |   30 |   0.96 |   2.41 |   8.00 |
|   222 | G307.6281-0.3145 | 203.1808 | -62.8093 |   42 |   25 |  67 |   32 |   0.72 |   2.05 |   6.72 |
|   223 | G307.6297-0.2726 | 203.1696 | -62.7677 |   22 |   19 |  71 |   20 |   0.64 |   0.71 |   5.63 |
|   224 | G307.6327-0.2641 | 203.1731 | -62.7588 |   25 |   19 |  61 |   22 |   0.68 |   0.88 |   6.42 |
|   225 | G307.7353-0.5955 | 203.5132 | -63.0692 |   26 |   21 | 110 |   23 |   0.68 |   1.01 |   6.55 |
|   226 | G307.7558+0.3534 | 203.2225 | -62.1296 |   30 |   26 | 111 |   28 |   1.98 |   4.21 |  17.14 |
