|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD | nSF |
|  6033 | G000.7348-0.0847 | 266.9223 | -28.3521 |   24 |   19 | 120 |   22 | 0.92 |  1.16 |  12.2 |     0 |     0 |       0 |   0 |
|  6034 | G000.7352+0.0065 | 266.8339 | -28.3046 |   42 |   31 | 106 |   36 | 0.87 |  3.01 | 10.14 |     0 |     0 |       0 |   0 |
|  6035 | G000.7352-0.0502 |  266.889 |  -28.334 |   34 |   27 | -24 |   30 |  0.7 |  1.77 |  9.47 |     0 |     0 |       0 |   0 |
|  6036 | G000.7354-0.0948 | 266.9325 | -28.3568 |   42 |   27 |  24 |   34 | 2.58 |  7.95 | 34.95 |     0 |     0 |       0 |   0 |
|  6061 | G000.7705-0.0618 |  266.921 | -28.3098 |   32 |   25 | 119 |   29 | 0.68 |  1.51 |  9.79 |     0 |     0 |       0 |   0 |
|  6064 | G000.7744-0.2560 | 267.1122 | -28.4067 |   22 |   19 | 136 |   21 | 0.69 |  0.79 | 11.14 |     0 |     0 |       0 |   0 |
|  6067 | G000.7784-0.1873 | 267.0477 | -28.3679 |   39 |   19 |  83 |   27 | 0.53 |  1.07 |   8.8 |     0 |     0 |       0 |   0 |
|  6074 | G000.7873-0.2182 |  267.083 | -28.3762 |   38 |   26 |   5 |   32 |  0.6 |  1.63 |  9.96 |     0 |     0 |       0 |   0 |
|  6083 | G000.8081+0.0263 | 266.8575 |  -28.232 |   56 |   43 | 132 |   49 | 0.96 |  6.22 | 14.71 |     0 |     0 |       0 |   0 |
|  6092 | G000.8275+0.0310 | 266.8643 | -28.2129 |   38 |   29 |  28 |   33 | 0.54 |  1.62 |   8.6 |     0 |     0 |       0 |   0 |
|  6094 | G000.8303-0.1809 | 267.0719 | -28.3201 |   69 |   26 | 105 |   42 | 0.54 |  2.61 |  9.47 |     0 |     0 |       0 |   0 |
|  6100 | G000.8327-0.1986 | 267.0906 | -28.3272 |   62 |   32 | 123 |   44 | 0.97 |   5.2 | 16.82 |     0 |     0 |       0 |   0 |
|  6108 | G000.8401-0.2383 | 267.1335 | -28.3414 |   60 |   28 | 104 |   41 | 0.73 |   3.4 | 12.64 |     0 |     0 |       0 |   0 |
|  6111 | G000.8421+0.0159 | 266.8875 | -28.2083 |   54 |   33 |  50 |   42 | 0.67 |  3.24 | 10.81 |     0 |     0 |       0 |   0 |
|  6117 | G000.8462-0.0019 | 266.9073 | -28.2139 |   51 |   22 |  43 |   33 | 0.52 |  1.56 |  8.12 |     0 |     0 |       0 |   0 |
|  6120 | G000.8467-0.0292 | 266.9341 | -28.2277 |   67 |   44 |  53 |   55 | 0.92 |  7.44 | 15.08 |     0 |     0 |       0 |   0 |
|  6125 | G000.8511-0.1811 | 267.0843 | -28.3024 |   44 |   30 |  99 |   36 |  0.7 |   2.5 | 12.11 |     0 |     0 |       0 |   0 |
|  6128 | G000.8552-0.1528 | 267.0592 | -28.2843 |   32 |   28 | 127 |   30 | 0.51 |  1.24 |  8.18 |     0 |     0 |       0 |   0 |
|  6130 | G000.8574-0.0935 | 267.0028 | -28.2518 |   40 |   31 |  91 |   35 | 0.59 |  1.99 |  9.85 |     0 |     0 |       0 |   0 |
|  6141 | G000.8785-0.1929 | 267.1119 |  -28.285 |   44 |   30 |  32 |   37 | 0.66 |  2.41 | 11.48 |     0 |     0 |       0 |   0 |
|  6146 | G000.8842-0.0361 | 266.9628 | -28.1991 |   33 |   19 |  47 |   25 | 0.57 |  0.97 |  9.05 |     0 |     0 |       0 |   0 |
