   Long    Lat   Vlsr       Dist sigma_D    Prob     Arm     ExtraInformation
 333.51  -0.24  -49.1      11.76    0.44    0.66     ...?    G333.5081-0.2398    
 333.57   0.03  -84.9       9.97    0.44    0.67     ...?    G333.5685+0.0292    
 333.64   0.38  -35.3       2.49    0.46    0.60     ...?    G333.6425+0.3764    
 333.66   0.06  -84.2      10.01    0.44    0.67     ...?    G333.6563+0.0587    
 333.67  -0.35  -48.0       3.15    0.43    0.54     ...?    G333.6688-0.3480    
 333.67  -0.36  -48.0       3.15    0.43    0.56     ...?    G333.6708-0.3575    
 333.68  -0.26  -48.1      11.83    0.44    0.64     ...?    G333.6827-0.2555    
 333.70  -0.21  -47.3      11.88    0.44    0.70     ...?    G333.6987-0.2122    
 333.77   0.35  -33.3       2.38    0.46    0.52     ...?    G333.7656+0.3477    
 335.59   0.18  -50.1      11.88    0.44    0.71     ...?    G335.5915+0.1836    
 336.47  -0.20  -24.3      13.44    0.55    0.80     ...?    G336.4689-0.2023    
 336.74   0.11  -76.3      10.66    0.41    0.68     ...?    G336.7428+0.1078    
 336.75  -0.22  -96.9       9.60    0.46    0.56     ...?    G336.7536-0.2204    
 336.82   0.13  -82.5      10.36    0.41    0.65     ...?    G336.8177+0.1268    
 336.83   0.14  -81.6      10.40    0.41    0.65     ...?    G336.8253+0.1397    
 336.83   0.13  -79.9      10.48    0.41    0.66     ...?    G336.8315+0.1307    
 337.16   0.11  -73.9      10.80    0.40    0.69     ...?    G337.1617+0.1113    
 337.21  -0.07  -67.2      11.12    0.41    0.72     ...?    G337.2059-0.0742    
 337.29   0.01 -105.8       9.12    0.56    0.58     ...?    G337.2860+0.0083    
 337.35  -0.16  -72.7      10.87    0.41    0.71     ...?    G337.3478-0.1584    
 337.72   0.06  -75.2      10.75    0.40    0.66     ...?    G337.7195+0.0645    
 337.81   0.01 -123.3       7.80    0.81    1.00     3kN     G337.8120+0.0086    
 337.99   0.02  -45.7      12.25    0.46    0.77     ...?    G337.9882+0.0237    
 338.38   0.01  -39.2      12.64    0.49    0.80     ...?    G338.3843+0.0118    
 338.45  -0.01  -49.2      12.09    0.45    0.78     ...?    G338.4460-0.0064    
 338.46   0.02  -41.0      12.54    0.48    0.79     ...?    G338.4598+0.0239    
 338.62   0.02  -23.0      13.68    0.58    0.87     ...?    G338.6209+0.0228    
 338.79   0.48  -64.6       4.25    0.41    0.93     ...?    G338.7851+0.4767    
 338.87  -0.48  -36.5       2.81    0.48    0.66     ...?    G338.8688-0.4796    
 338.93  -0.08  -46.1      12.28    0.46    0.80     ...?    G338.9293-0.0802    
 339.05  -0.18 -115.9       8.60    0.58    0.55     ...     G339.0510-0.1841    
 339.21  -0.66  -41.9       3.11    0.46    1.00     ...?    G339.2067-0.6594    
 339.26  -0.01 -105.9       9.24    0.53    0.58     ...?    G339.2580-0.0069    
 339.31   0.23  -70.0       4.58    0.40    0.50     ...?    G339.3148+0.2296    
 339.97  -0.16  -35.7      12.91    0.52    0.79     ...?    G339.9677-0.1632    
 340.21  -0.05 -121.3       7.93    0.86    1.00     3kN     G340.2060-0.0496    
 340.22  -0.17  -52.8      11.92    0.44    0.63     ...?    G340.2230-0.1681    
 340.24  -0.16  -52.2      11.95    0.44    0.65     ...?    G340.2401-0.1581    
 340.25  -0.23  -47.1      12.21    0.45    0.55     ...?    G340.2545-0.2261    
 340.27  -0.16  -51.6      11.98    0.44    0.65     ...?    G340.2664-0.1570    
 340.28  -0.40  -50.5       3.68    0.44    0.83     ...?    G340.2841-0.4013    
 340.37  -0.39  -43.4       3.31    0.46    0.83     ...?    G340.3736-0.3904    
 341.01  -0.36  -44.5       3.43    0.46    0.77     ...?    G341.0096-0.3595    
 341.18  -0.28  -44.1       3.43    0.46    0.57     ...?    G341.1806-0.2769    
 341.72   0.06  -51.7      12.01    0.45    0.77     ...?    G341.7206+0.0591    
 344.09  -0.64  -25.6       2.49    0.58    1.00     ...?    G344.0948-0.6416    
 344.15  -0.62  -23.7       2.37    0.59    1.00     ...?    G344.1469-0.6158    
 345.56   0.02  -16.7       1.37    0.14    0.88     ...?    G345.5554+0.0239    
 347.66   0.23  -93.8       9.51    0.41    0.62     ...     G347.6622+0.2264    
 347.68   0.20  -73.1      10.46    0.39    0.64     ...     G347.6783+0.2039    
 349.17   0.13  -60.7      10.88    0.44    0.61     ...     G349.1665+0.1308    
 349.18   0.12  -60.7      10.88    0.44    0.62     ...     G349.1770+0.1247    
 350.76   0.79   -5.0       1.34    0.14    1.00     ...?    G350.7599+0.7918    
 350.77   0.80   -4.9       1.34    0.14    1.00     ...?    G350.7733+0.7956    
 350.82   0.51   -0.4       1.34    0.13    0.75     ...?    G350.8162+0.5146    
 350.92   0.74   -4.1       1.34    0.14    0.81     ...?    G350.9224+0.7443    
 351.02   0.74   -4.3       1.34    0.14    0.84     ...?    G351.0167+0.7356    
 351.13   0.77   -5.6       1.35    0.14    0.88     ...?    G351.1314+0.7709    
 351.14   0.76   -5.9       1.35    0.14    0.88     ...?    G351.1402+0.7551    
 351.14   0.78   -6.1       1.35    0.14    0.90     ...?    G351.1414+0.7764    
 351.15   0.77   -6.6       1.35    0.14    1.00     ...?    G351.1510+0.7656    
 351.16   0.75   -7.6       1.35    0.14    1.00     ...?    G351.1588+0.7490    
 351.17   0.63   -4.3       1.34    0.14    0.70     ...?    G351.1734+0.6330    
 351.18   0.65   -4.3       1.34    0.14    0.73     ...?    G351.1785+0.6452    
 351.18   0.57   -4.7       1.35    0.14    0.56     ...?    G351.1821+0.5734    
 351.19   0.58   -4.7       1.35    0.14    0.59     ...?    G351.1914+0.5841    
 351.47   0.68   -2.7       1.34    0.14    0.74     ...?    G351.4659+0.6821    
