|             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD |
| G000.9504-0.0812 | 267.0454 | -28.1658 |   49 |   44 | -31 |   46 | 0.66 |  3.84 | 11.09 |     0 |     0 |       0 |
| G000.9583-0.0693 | 267.0385 | -28.1528 |   40 |   27 | 148 |   33 |  0.7 |  2.06 | 11.78 |     0 |     0 |       0 |
| G000.9940-0.2431 | 267.2283 | -28.2119 |   40 |   27 |  -5 |   32 | 0.61 |  1.74 | 10.93 |     0 |     0 |       0 |
| G000.9979+0.0672 | 266.9292 | -28.0484 |   45 |   38 |  13 |   41 | 0.62 |  2.83 | 12.09 |     0 |     0 |       0 |
| G001.0438-0.1262 | 267.1438 |  -28.109 |   37 |   34 |  56 |   35 | 0.67 |  2.26 |  12.1 |     0 |     0 |       0 |
| G001.0486-0.0686 | 267.0906 | -28.0751 |   40 |   25 |  -3 |   32 | 1.11 |  3.02 | 19.01 |     0 |     0 |       0 |
| G001.0652-0.1338 | 267.1637 | -28.0946 |   34 |   34 |  88 |   34 | 0.67 |  2.08 | 11.68 |     0 |     0 |       0 |
| G001.0840-0.0542 | 267.0974 | -28.0374 |   28 |   19 |  17 |   23 | 0.55 |  0.79 |  9.62 |     0 |     0 |       0 |
| G001.0891-0.0028 | 267.0505 | -28.0065 |   37 |   25 |  56 |   30 | 0.53 |  1.31 |  9.78 |     0 |     0 |       0 |
| G001.0940-0.0278 | 267.0776 | -28.0152 |   51 |   37 |   3 |   43 | 1.23 |  6.19 | 22.33 |     0 |     0 |       0 |
| G001.1295+0.0038 | 267.0677 | -27.9685 |   63 |   32 | -27 |   45 | 0.72 |  3.94 | 12.71 |     0 |     0 |       0 |
| G001.1611-0.1117 | 267.1982 |  -28.001 |   38 |   31 |  50 |   34 | 0.59 |  1.87 | 10.25 |     0 |     0 |       0 |
| G001.1620-0.1253 | 267.2119 | -28.0073 |   22 |   21 |  43 |   21 | 0.55 |  0.68 |  9.98 |     0 |     0 |       0 |
| G001.1655+0.2326 | 266.8672 | -27.8194 |   46 |   30 |  72 |   37 | 0.69 |  2.51 | 12.07 |     0 |     0 |       0 |
| G001.1738+0.0936 | 267.0066 | -27.8842 |   38 |   31 | 146 |   34 |  0.7 |  2.22 |  12.4 |     0 |     0 |       0 |
| G001.1985+0.0762 | 267.0379 |  -27.872 |   34 |   23 |   9 |   28 | 0.57 |  1.22 | 10.41 |     0 |     0 |       0 |
| G001.2013+0.0046 | 267.1089 | -27.9066 |   49 |   34 | -10 |   41 | 0.53 |   2.4 |  9.36 |     0 |     0 |       0 |
