  Name                  nYSOs
  G327.5774-0.8529      0 
  G327.5913-0.3689      2 
  G327.5927-0.0960      2 
  G327.6195-0.1125      1 
  G327.6289-0.3587      0 
  G327.6367-0.1474      1 
  G327.6394-0.9187      0 
  G327.6468-0.3832      1 
  G327.6543+0.1259      0 
  G327.6862+0.5774      0 
  G327.7019-0.4002      0 
  G327.7099-0.3956      0 
  G327.7161-0.3839      0 
  G327.7224-0.3940      0 
  G327.7322-0.3876      0 
  G327.7381-0.3942      0 
  G327.7548-0.3549      0 
  G327.7652-0.3477      0 
  G327.7780-0.6621      0 
  G327.7884-0.4944      1 
  G327.8085-0.6364      2 
  G327.8191-0.6373      1 
  G327.8235-0.6502      0 
  G327.8474+0.0162      0 
  G327.8573+0.1850      1 
  G327.8947+0.1491      3 
  G327.9065+0.1573      0 
  G327.9175-0.6130      0 
  G327.9470-0.1167      0 
  G327.9680-0.7160      1 
  G327.9767-0.0911      0 
  G327.9780-0.0004      1 
  G327.9866-0.7124      0 
  G327.9890-0.0867      0 
  G328.0276+0.7340      5 
  G328.0502-0.0492      2 
  G328.0513-0.5392      2 
  G328.0577+0.2985      0 
  G328.0729+0.5901      2 
  G328.0807-0.5331      2 
  G328.1022+0.1640      1 
  G328.1270+0.1222      1 
  G328.1350+0.5643      1 
  G328.1401-0.4325      1 
  G328.1434-0.1092      0 
  G328.1650+0.5865      3 
  G328.1943-0.5575      0 
  G328.1944-0.4943      0 
  G328.1945-0.6716      0 
  G328.2025-0.4650      0 
  G328.2075-0.5865      0 
  G328.2088-0.5543      0 
  G328.2188-0.5922      0 
  G328.2227-0.5512      1 
  G328.2302-0.5422      0 
  G328.2353-0.5481      1 
  G328.2409-0.5419      0 
  G328.2424-0.5574      0 
  G328.2473-0.5293      0 
  G328.2551-0.5321      2 
  G328.2558-0.4118      1 
  G328.2626-0.5255      2 
  G328.2682-0.5369      0 
  G328.2781-0.5505      0 
  G328.2787-0.5323      1 
  G328.2875-0.5119      1 
  G328.2959-0.5493      0 
  G328.2972-0.5130      0 
  G328.2987+0.4468      0 
  G328.2988-0.5242      0 
  G328.3008+0.4363      0 
  G328.3073+0.4301      0 
  G328.3096+0.4204      0 
  G328.3126-0.5656      1 
  G328.3147-0.4204      3 
  G328.3188+0.4516      0 
  G328.3350-0.5257      2 
  G328.3618-0.5461      1 
  G328.3678-0.5589      0 
  G328.3707-0.5346      1 
  G328.3850-0.3118      0 
  G328.4073-0.1095      1 
  G328.4197+0.5845      0 
  G328.4227+0.7374      1 
  G328.4240-0.0875      1 
  G328.5485+0.2716      1 
  G328.5664+0.4223      1 
  G328.5670-0.5344      0 
  G328.5763-0.5303      0 
  G328.5785+0.0641      0 
  G328.5841-0.5326      0 
  G328.5959+0.2719      1 
  G328.6561+0.0566      1 
  G328.6567+0.8594      0 
  G328.6982+0.4723      1 
  G328.8010+0.6292      0 
  G328.8087+0.6328      0 
  G328.8101+0.6254      1 
  G328.8138+0.6389      0 
  G328.8221-0.0606      2 
  G328.8247-0.0799      1 
  G328.8538+0.3057      1 
  G328.8988+0.3497      4 
  G328.9407+0.5650      1 
  G328.9572+0.5756      0 
  G328.9601+0.5665      0 
  G328.9831+0.5710      1 
  G328.9850-0.4356      2 
  G328.9906+0.5736      0 
  G329.0303-0.2022      1 
  G329.0325-0.1956      1 
  G329.0552-0.3092      1 
  G329.0656-0.3076      5 
  G329.0746-0.3120      0 
  G329.1123-0.4910      0 
  G329.1638-0.2856      2 
  G329.1823-0.3228      6 
  G329.1827-0.3054      2 
  G329.1835-0.3147      2 
  G329.2580-0.3135      0 
  G329.2724+0.1157      0 
  G329.2896-0.3872      0 
  G329.3133-0.3025      4 
  G329.3382+0.1471      0 
  G329.3410+0.1278      0 
  G329.3419-0.6424      1 
  G329.3464+0.1439      0 
  G329.3748-0.2846      0 
  G329.3930+0.9844      0 
  G329.4033+0.3661      0 
  G329.4058-0.4589      0 
  G329.4117-0.4546      0 
  G329.4149+0.1538      2 
  G329.4161-0.1616      0 
  G329.4231-0.1636      1 
  G329.4550+0.1786      0 
  G329.4591+0.1702      0 
  G329.4599+0.5058      1 
  G329.4670+0.5163      2 
  G329.4686+0.5030      0 
  G329.4719+0.2157      0 
  G329.4762+0.8409      0 
  G329.4939+0.1055      1 
  G329.5243+0.0851      2 
  G329.5375+0.4229      0 
  G329.5554+0.1807      1 
  G329.6004+0.0551      0 
  G329.6042+0.1049      1 
  G329.6088+0.1132      2 
  G329.6218+0.1389      0 
  G329.6824+0.1446      0 
  G329.7183+0.8052      2 
  G329.8158+0.1406      0 
  G330.0205+0.9212      1 
  G330.0398-0.0581      0 
  G330.2259+0.2893      1 
  G330.2837+0.4930      1 
  G330.2915+0.0011      2 
  G330.2948-0.3945      0 
  G330.3008-0.4017      0 
  G330.3473-0.0234      1 
  G330.5593-0.1149      0 
  G330.6734-0.3746      0 
  G330.6773-0.4035      0 
  G330.7791+0.3959      2 
  G330.7825+0.2448      4 
  G330.7961-0.3644      2 
  G330.8210-0.5079      2 
  G330.8521-0.3510      0 
  G330.8666-0.3510      0 
  G330.8743-0.3563      0 
  G330.8762-0.3845      0 
  G330.8788-0.3681      0 
  G330.8792-0.3763      1 
  G330.9279-0.4072      1 
  G330.9373+0.1953      0 
  G330.9377-0.4074      0 
  G330.9426-0.2588      2 
  G330.9489-0.1854      0 
  G330.9545-0.1828      0 
  G330.9572-0.1907      0 
  G330.9590-0.2733      0 
  G330.9865+0.3272      2 
  G331.0107-0.0976      0 
  G331.0184-0.4331      0 
  G331.0288-0.4308      0 
  G331.0330-0.1927      0 
  G331.0336-0.4188      1 
  G331.0364-0.4387      0 
  G331.0455-0.4230      0 
  G331.0605-0.1660      0 
  G331.0844-0.4766      2 
  G331.0930-0.1306      0 
  G331.1190-0.1176      1 
  G331.1242-0.5132      0 
  G331.1254-0.2488      0 
  G331.1278-0.5347      1 
  G331.1288-0.4939      0 
  G331.1320-0.4714      1 
  G331.1322-0.2446      1 
  G331.1335-0.4831      0 
  G331.1341+0.1559      1 
  G331.1345-0.4478      2 
  G331.1356-0.5241      0 
  G331.1410-0.2431      0 
  G331.1441-0.4840      1 
  G331.1468+0.1360      0 
  G331.1618-0.4629      0 
  G331.1804-0.4597      0 
  G331.1904-0.4632      0 
  G331.2422-0.2010      0 
  G331.2475-0.4493      0 
  G331.2740-0.3757      1 
  G331.2800-0.1888      0 
  G331.2843-0.1817      0 
  G331.2879-0.1929      0 
  G331.3095-0.3777      1 
  G331.3144-0.3202      0 
  G331.3202-0.3833      1 
  G331.3271-0.3263      0 
  G331.3279-0.3880      0 
  G331.3407+0.0199      2 
  G331.3432-0.3470      1 
  G331.3466+0.1807      0 
  G331.3519-0.3409      0 
  G331.3665-0.0220      0 
  G331.3676+0.1476      2 
  G331.3686-0.1187      2 
  G331.3708-0.4005      1 
  G331.3733-0.3144      1 
  G331.3835+0.1506      2 
  G331.3873-0.3607      0 
  G331.3910+0.1265      1 
